year,quarter,year_quarter,quote,n_days,rate_mean,rate_std,rate_min,rate_max
2020,Q1,2020-Q1,EUR,91,0.24181527472527473,0.003284898896011988,0.23437,0.24864
2020,Q1,2020-Q1,GBP,91,0.20835120879120878,0.007227786327033695,0.20227,0.22897
2020,Q1,2020-Q1,USD,91,0.26667,0.0,0.26667,0.26667
2020,Q2,2020-Q2,AED,91,0.9793300000000001,0.0,0.97933,0.97933
2020,Q2,2020-Q2,CNY,91,1.8909021978021978,0.006300740309624697,1.8803,1.9091
2020,Q2,2020-Q2,EUR,91,0.2424143956043956,0.004077387837217808,0.23499,0.24736
2020,Q2,2020-Q2,GBP,91,0.21497802197802196,0.0022581512693057326,0.20936,0.21968
2020,Q2,2020-Q2,USD,91,0.26667,0.0,0.26667,0.26667
2020,Q3,2020-Q3,AED,92,0.97933,0.0,0.97933,0.97933
2020,Q3,2020-Q3,CNY,92,1.8463445652173913,0.02335302584875076,1.8043,1.8866
2020,Q3,2020-Q3,EUR,92,0.2283954347826087,0.004256490948363718,0.22311,0.23769
2020,Q3,2020-Q3,GBP,92,0.20663869565217394,0.004143963759809949,0.19911,0.21556
2020,Q3,2020-Q3,USD,92,0.26667,0.0,0.26667,0.26667
2020,Q4,2020-Q4,AED,92,0.97933,0.0,0.97933,0.97933
2020,Q4,2020-Q4,CNY,92,1.7670923913043477,0.02274702363670247,1.7408,1.8136
2020,Q4,2020-Q4,EUR,92,0.22376380434782608,0.0034378382047064206,0.21747,0.22874
2020,Q4,2020-Q4,GBP,92,0.20210815217391304,0.003251375340215601,0.19595,0.207
2020,Q4,2020-Q4,USD,92,0.26667,0.0,0.26667,0.26667
2021,Q1,2021-Q1,AED,90,0.97933,0.0,0.97933,0.97933
2021,Q1,2021-Q1,CNY,90,1.7288877777777776,0.007441952561498065,1.7188,1.7516
2021,Q1,2021-Q1,EUR,90,0.22113022222222223,0.002485858872117407,0.21685,0.22725
2021,Q1,2021-Q1,GBP,90,0.19346811111111112,0.0020619396859303577,0.18863,0.19729
2021,Q1,2021-Q1,USD,90,0.26667,0.0,0.26667,0.26667
2021,Q2,2021-Q2,AED,91,0.9793300000000001,0.0,0.97933,0.97933
2021,Q2,2021-Q2,CNY,91,1.723523076923077,0.014535069291759099,1.6997,1.7511
2021,Q2,2021-Q2,EUR,91,0.22142296703296704,0.002424496050502287,0.21796,0.22724
2021,Q2,2021-Q2,GBP,91,0.19083274725274726,0.00199731100673662,0.18795,0.19431
2021,Q2,2021-Q2,USD,91,0.26667,0.0,0.26667,0.26667
2021,Q3,2021-Q3,AED,92,0.97933,0.0,0.97933,0.97933
2021,Q3,2021-Q3,CNY,92,1.7254684782608696,0.0035918384085823446,1.7167,1.7342
2021,Q3,2021-Q3,EUR,92,0.22624673913043478,0.0011278571617687676,0.22452,0.22971
2021,Q3,2021-Q3,GBP,92,0.19340717391304346,0.0012582154867828341,0.19109,0.19801
2021,Q3,2021-Q3,USD,92,0.26667,0.0,0.26667,0.26667
2021,Q4,2021-Q4,AED,92,0.97933,0.0,0.97933,0.97933
2021,Q4,2021-Q4,CNY,92,1.7051358695652175,0.007228265360006423,1.6949,1.7207
2021,Q4,2021-Q4,EUR,92,0.2332004347826087,0.002993879071839537,0.22923,0.23773
2021,Q4,2021-Q4,GBP,92,0.1978580434782609,0.0026618353740471196,0.1933,0.20192
2021,Q4,2021-Q4,USD,92,0.26667,0.0,0.26667,0.26667
2022,Q1,2022-Q1,AED,90,0.97933,0.0,0.97933,0.97933
2022,Q1,2022-Q1,CNY,90,1.6929822222222224,0.005109268462287495,1.6825,1.7003
2022,Q1,2022-Q1,EUR,90,0.2376663333333333,0.0034106272941096284,0.233,0.2445
2022,Q1,2022-Q1,GBP,90,0.19874122222222224,0.0028581241698511653,0.19447,0.20423
2022,Q1,2022-Q1,USD,90,0.26667,0.0,0.26667,0.26667
2022,Q2,2022-Q2,AED,91,0.9793300000000001,0.0,0.97933,0.97933
2022,Q2,2022-Q2,CNY,91,1.761789010989011,0.038059848924057706,1.6943,1.8109
2022,Q2,2022-Q2,EUR,91,0.2501225274725275,0.003952491645477606,0.24081,0.25625
2022,Q2,2022-Q2,GBP,91,0.21196142857142858,0.005251290544328352,0.20317,0.22072
2022,Q2,2022-Q2,USD,91,0.26667,0.0,0.26667,0.26667
2022,Q3,2022-Q3,AED,92,0.97933,0.0,0.97933,0.97933
2022,Q3,2022-Q3,CNY,92,1.825553260869565,0.03529121688536503,1.7865,1.9211
2022,Q3,2022-Q3,EUR,92,0.26437347826086954,0.004474315328501343,0.25526,0.27771
2022,Q3,2022-Q3,GBP,92,0.22629380434782612,0.0070759525965139675,0.21829,0.24877
2022,Q3,2022-Q3,USD,92,0.26667,0.0,0.26667,0.26667
2022,Q4,2022-Q4,AED,92,0.97933,0.0,0.97933,0.97933
2022,Q4,2022-Q4,CNY,92,1.8980391304347826,0.028661782788970847,1.8523,1.9474
2022,Q4,2022-Q4,EUR,92,0.2616695652173913,0.008724639343664508,0.25015,0.27449
2022,Q4,2022-Q4,GBP,92,0.22772847826086956,0.00814189584731546,0.21587,0.2414
2022,Q4,2022-Q4,USD,92,0.26667,0.0,0.26667,0.26667
2023,Q1,2023-Q1,AED,90,0.97933,0.0,0.97933,0.97933
2023,Q1,2023-Q1,CNY,90,1.8253977777777777,0.018035582668637414,1.7923,1.8557
2023,Q1,2023-Q1,EUR,90,0.2486337777777778,0.0025338994143803925,0.24327,0.25287
2023,Q1,2023-Q1,GBP,90,0.21957355555555555,0.0025590721242919894,0.21531,0.22424
2023,Q1,2023-Q1,USD,90,0.26667,0.0,0.26667,0.26667
2023,Q2,2023-Q2,AED,91,0.9793300000000001,0.0,0.97933,0.97933
2023,Q2,2023-Q2,CNY,91,1.8676010989010987,0.03143041872137954,1.8284,1.9329
2023,Q2,2023-Q2,EUR,91,0.24482252747252745,0.002329420811850313,0.24124,0.2494
2023,Q2,2023-Q2,GBP,91,0.21300758241758244,0.002015860081486773,0.20826,0.21589
2023,Q2,2023-Q2,USD,91,0.26667,0.0,0.26667,0.26667
2023,Q3,2023-Q3,AED,92,0.97933,0.0,0.97933,0.97933
2023,Q3,2023-Q3,CNY,92,1.9306434782608697,0.014795643139134305,1.9043,1.9552
2023,Q3,2023-Q3,EUR,92,0.2449336956521739,0.0038582045352760926,0.23725,0.25299
2023,Q3,2023-Q3,GBP,92,0.21053315217391305,0.003680618058868673,0.20361,0.21912
2023,Q3,2023-Q3,USD,92,0.26667,0.0,0.26667,0.26667
2023,Q4,2023-Q4,AED,92,0.97933,0.0,0.97933,0.97933
2023,Q4,2023-Q4,CNY,92,1.9255673913043478,0.021030836118547398,1.894,1.9499
2023,Q4,2023-Q4,EUR,92,0.24786184782608697,0.004035021665954296,0.24025,0.25407
2023,Q4,2023-Q4,GBP,92,0.21486097826086956,0.003888539955887437,0.20878,0.22028
2023,Q4,2023-Q4,USD,92,0.26667,0.0,0.26667,0.26667
2024,Q1,2024-Q1,AED,91,0.9793300000000001,0.0,0.97933,0.97933
2024,Q1,2024-Q1,CNY,91,1.9162175824175824,0.005717120359189996,1.8937,1.9266
2024,Q1,2024-Q1,EUR,91,0.24547901098901098,0.0014967053112642798,0.24089,0.24848
2024,Q1,2024-Q1,GBP,91,0.21018296703296704,0.0009827619746922921,0.20783,0.21215
2024,Q1,2024-Q1,USD,91,0.26667,0.0,0.26667,0.26667
2024,Q2,2024-Q2,AED,91,0.9793300000000001,0.0,0.97933,0.97933
2024,Q2,2024-Q2,CNY,91,1.930467032967033,0.0033251250584688916,1.9239,1.9378
2024,Q2,2024-Q2,EUR,91,0.24756131868131867,0.0016206399345054417,0.24498,0.25071
2024,Q2,2024-Q2,GBP,91,0.21121406593406591,0.00181133344253586,0.20859,0.2154
2024,Q2,2024-Q2,USD,91,0.26667,0.0,0.26667,0.26667
2024,Q3,2024-Q3,AED,92,0.97933,0.0,0.97933,0.97933
2024,Q3,2024-Q3,CNY,92,1.910186956521739,0.021794062188573333,1.8687,1.9391
2024,Q3,2024-Q3,EUR,92,0.24275152173913045,0.002863625971180405,0.23863,0.2483
2024,Q3,2024-Q3,GBP,92,0.20517326086956522,0.0031975313653345295,0.19916,0.21065
2024,Q3,2024-Q3,USD,92,0.26667,0.0,0.26667,0.26667
2024,Q4,2024-Q4,AED,92,0.97933,0.0,0.97933,0.97933
2024,Q4,2024-Q4,CNY,92,1.9164978260869565,0.023699974397263707,1.8712,1.9457
2024,Q4,2024-Q4,EUR,92,0.24970228260869565,0.004799847319746895,0.23967,0.25643
2024,Q4,2024-Q4,GBP,92,0.20787532608695652,0.0033341204587054125,0.19969,0.21243
2024,Q4,2024-Q4,USD,92,0.26667,0.0,0.26667,0.26667
2025,Q1,2025-Q1,AED,90,0.97933,0.0,0.97933,0.97933
2025,Q1,2025-Q1,CNY,90,1.939638888888889,0.007859535029910917,1.9271,1.9545
2025,Q1,2025-Q1,EUR,90,0.253508,0.005079103964150773,0.2444,0.26028
